id,host_neighbourhood,zipcode,property_type,neighbourhood_group_cleansed,review_scores_rating
7735464,Queen Anne,98119,Apartment,Queen Anne,98
7745196,Fremont,98103,Guest suite,Other neighborhoods,91
7746170,The Junction,98126,House,West Seattle,92
7748349,Licton Springs,98103,House,Northgate,98
7748778,North Beacon Hill,98144,Camper/RV,Beacon Hill,
7748866,Phinney Ridge,98107,House,Other neighborhoods,89
7762347,Lower Queen Anne,98109,Apartment,Queen Anne,91
7763309,Ballard,98117,Apartment,Ballard,93
7772661,Queen Anne,98119,House,Queen Anne,94
7773668,,98102,Apartment,Capitol Hill,98
7773851,North Admiral,98116,House,West Seattle,98
7774070,Greenwood,98103,House,Other neighborhoods,99
7775167,Madrona,98122,House,Central Area,96
7776701,,98116,House,West Seattle,93
7785646,Wallingford,98105,Apartment,Other neighborhoods,93
7788695,Crown Hill,98117,Guest suite,Other neighborhoods,100
7789438,Tzafon Yashan,98122,Apartment,Capitol Hill,94
7800238,North Beacon Hill,98108,Tiny house,Beacon Hill,94
7802266,Capitol Hill,98122,Apartment,Capitol Hill,96
7805332,Stevens,98112,House,Capitol Hill,100
7807090,Central Business District,98121,Apartment,Downtown,93
7807169,Central Business District,98121,Apartment,Downtown,96
7807268,Central Business District,98121,Apartment,Downtown,94
7808495,Minor,98122,Townhouse,Central Area,96
7810447,University District,98105,Apartment,University District,92
7821351,Fremont,98103,Townhouse,Other neighborhoods,95
7823623,Eastlake,98102,House,Cascade,97
7823973,Stevens,98112,Apartment,Capitol Hill,90
7824870,First Hill,98122,Apartment,Downtown,96
7826131,Phinney Ridge,98103,Apartment,Other neighborhoods,99
7826541,Wallingford,98103,Apartment,Other neighborhoods,96
7839535,Queen Anne,98119,House,Queen Anne,96
7841397,Queen Anne,98109,Apartment,Queen Anne,98
7843995,Capitol Hill,98122,Apartment,Capitol Hill,95
7860837,Broadview,98177,Guest suite,Other neighborhoods,96
7869223,North Admiral,98116,House,West Seattle,99
7871807,Capitol Hill,98102,House,Capitol Hill,100
7871885,Stevens,98112,House,Capitol Hill,96
7873789,Ballard,98117,Guest suite,Ballard,93
7883181,North Beacon Hill,98144,House,Beacon Hill,93
7884782,Capitol Hill,98122,Apartment,Capitol Hill,98
7885859,Lower Queen Anne,98119,Apartment,Queen Anne,100
7886645,Green Lake,98115,Guest suite,Other neighborhoods,98
7886656,Maple Leaf,98116,Apartment,West Seattle,98
7901318,Capitol Hill,98122,Apartment,Capitol Hill,93
7901331,Fremont,98103,House,Other neighborhoods,97
7901725,Green Lake,98103,House,Other neighborhoods,96
7902005,Magnolia,98199,Guest suite,Magnolia,95
7902229,Gatewood,98126,Guest suite,West Seattle,96
7916754,Yesler Terrace,98122,Apartment,Downtown,
7921065,Interbay,98199,Houseboat,Interbay,93
7921453,Beverly Hills,98108,Camper/RV,Beacon Hill,100
7922013,Mount Baker,98144,House,Rainier Valley,98
7922663,Mount Baker,98144,House,Rainier Valley,95
7922676,Eastlake,98102,Apartment,Cascade,100
7934356,Ravenna,98105,Apartment,Other neighborhoods,96
7935437,Greenwood,98103,Guest suite,Other neighborhoods,95
7938941,North Beacon Hill,98144,House,Rainier Valley,95
7940358,Stevens,98112,Townhouse,Capitol Hill,95
7940510,Ballard,98107,Townhouse,Ballard,99
7952032,Greenwood,98103,Apartment,Other neighborhoods,97
7952930,Maple Leaf,98125,House,Northgate,99
7953211,Stevens,98122,House,Central Area,93
7954781,Central Business District,98101,Apartment,Downtown,95
7956337,Mount Baker,98144,House,Rainier Valley,100
7957689,Capitol Hill,98122,Condominium,Capitol Hill,99
7957729,Wallingford,98105,House,Other neighborhoods,96
7969698,Haller Lake,98133,Townhouse,Northgate,81
7975026,Capitol Hill,98122,Apartment,Capitol Hill,88
7985714,Capitol Hill,98103,House,Other neighborhoods,91
7987854,Pike Place Market,98121,Condominium,Downtown,97
7995944,Maple Leaf,98115,Guest suite,Northgate,81
8002084,Wallingford,98103,House,Other neighborhoods,96
8002965,Ravenna,98115,House,Other neighborhoods,95
8016481,Belltown,98121,Apartment,Downtown,96
8017832,Genesee,98116,Townhouse,West Seattle,97
8027776,Belltown,98121,Condominium,Downtown,85
8029177,Magnolia,98199,Guest suite,Magnolia,93
8034025,,98101,Apartment,Downtown,98
8036620,Portage Bay,98102,House,Capitol Hill,92
8046691,Capitol Hill,98112,Apartment,Capitol Hill,97
8050232,First Hill,98101,Apartment,Downtown,92
8054302,Capitol Hill,98102,Aparthotel,Capitol Hill,94
8054902,Fremont,98107,Apartment,Other neighborhoods,95
8069192,Minor,98122,Townhouse,Central Area,88
8072920,Wallingford,98103,Apartment,Other neighborhoods,95
8080939,Green Lake,98103,Apartment,Other neighborhoods,
8081658,Green Lake,98103,Apartment,Other neighborhoods,94
8088447,Queen Anne,98109,Condominium,Queen Anne,94
8099917,Ravenna,98115,House,Other neighborhoods,98
